Rank,Node_ID_Power_Method,Node_PageRank_Power_Method,Node_ID_GS,Node_PageRank_GS
1,89073,0.011302835909520963,89073,0.011302835999312266
2,226411,0.009287655722181336,226411,0.009287655675096934
3,241454,0.008297234856408946,241454,0.008297234870772191
4,262860,0.0030231165585286397,262860,0.003023116580061303
5,134832,0.003001266418800762,134832,0.00300126642319745
6,234704,0.0025722562540677492,234704,0.0025722562426261568
7,136821,0.0024537026502701523,136821,0.00245370261196625
8,68889,0.0024307797059088263,68889,0.0024307796639422606
9,105607,0.0023974275311864344,105607,0.0023974275194969504
10,69358,0.0023640036054299253,69358,0.0023640036072285434
