Rank,Node_ID_Power_Method,Node_PageRank_Power_Method,Node_ID_GS,Node_PageRank_GS
1,89073,0.009186778238038165,89073,0.009186778441593354
2,281772,0.009112392808384927,281772,0.009112398023395247
3,174665,0.007688530213997262,174665,0.007688527880145605
4,226411,0.004514465691196815,226411,0.004514465882906759
5,179645,0.004072721007232326,179645,0.004072721126265572
6,271409,0.003872332792545749,271409,0.0038723316028382543
7,262860,0.0034853303805070773,262860,0.003485330459208504
8,136821,0.0028208335430917678,136821,0.0028208325748286128
9,68889,0.002790214079360121,68889,0.0027902131157681604
10,77988,0.0026762456720788325,77988,0.0026762437506678903
