Rank,Node_ID_Power_Method,Node_PageRank_Power_Method,Node_ID_GS,Node_PageRank_GS
1,89073,0.011302835909520963,89073,0.011302835999312266
2,226411,0.009287655722181336,226411,0.009287655675096934
3,241454,0.008297234856408946,241454,0.008297234870772191
4,262860,0.0030231165585286397,262860,0.003023116580061303
5,134832,0.003001266418800762,134832,0.00300126642319745
6,234704,0.0025722562540677492,234704,0.0025722562426261568
7,136821,0.0024537026502701523,136821,0.00245370261196625
8,68889,0.0024307797059088263,68889,0.0024307796639422606
9,105607,0.0023974275311864344,105607,0.0023974275194969504
10,69358,0.0023640036054299253,69358,0.0023640036072285434
11,67756,0.002300990214093036,67756,0.0023009902154924777
12,225872,0.0022674038352450705,225872,0.0022674038188408106
13,186750,0.0022324315501196855,186750,0.002232431534516621
14,272442,0.0021465381064359177,272442,0.002146538078533297
15,251796,0.0021465381064359117,251796,0.0021465380765649292
16,95163,0.002146538106435909,95163,0.0021465380718331656
17,119479,0.0020362393685043143,119479,0.002036239422354663
18,231363,0.0020076908464420314,231363,0.002007690847643142
19,55788,0.0019570367794952684,55788,0.0019570367869833636
20,167295,0.0019164905917252498,167295,0.0019164905855946974
21,179645,0.0018104316786327717,179645,0.001810431714889748
22,38342,0.0017386608162864013,38342,0.001738660810784806
23,117152,0.0014036072649406485,117152,0.0014036072435323443
24,198090,0.0013503781788197875,198090,0.0013503781744453735
25,60210,0.0013094189404822011,60210,0.0013094189533053395
26,235496,0.0012966858385942619,235496,0.0012966858203711333
27,132695,0.0012850143081453481,132695,0.0012850143015906916
28,181701,0.0012419603842467755,181701,0.0012419603836399023
29,259455,0.0012154083072875898,259455,0.001215408306898661
30,247241,0.0012154083072875898,247241,0.001215408306848762
31,120708,0.0012137546905432546,120708,0.001213754689845955
32,62478,0.0012137546905432537,62478,0.0012137546896911456
33,161890,0.00121207843350621,161890,0.0012120784225342668
34,137632,0.0012120057644764756,221087,0.00121200576397274
35,183004,0.0012120057644764756,183004,0.0012120057639152576
36,176790,0.0012120057644764756,176790,0.0012120057638572222
37,77999,0.001212005764476475,137632,0.001212005763819013
38,17781,0.0012120057644764747,77999,0.0012120057636725618
39,221087,0.0012120057644764734,17781,0.001212005763523117
40,96745,0.0012119665689803872,96745,0.0012119665682390304
41,112742,0.0012102777918425451,112742,0.001210277781028633
42,145892,0.0011961643317322192,145892,0.0011961643205830692
43,151428,0.0011922480035827113,151428,0.001192247992883388
44,81435,0.0011820373229806927,81435,0.001182037319686977
45,60440,0.0011806090474614226,60440,0.0011806090368657442
46,208542,0.0011751989234232451,208542,0.0011751989129831014
47,91,0.001173856932432228,91,0.0011738569218974451
48,214128,0.0011686519005153831,214128,0.0011686518974942425
49,258348,0.0011678984547773032,258348,0.0011678984559015727
50,222873,0.0011555857620304257,222873,0.0011555857517466478
