Rank,Node_ID_Power_Method,Node_PageRank_Power_Method,Node_ID_GS,Node_PageRank_GS
1,89073,0.011302835909520963,89073,0.011302835999312266
2,226411,0.009287655722181336,226411,0.009287655675096934
3,241454,0.008297234856408946,241454,0.008297234870772191
4,262860,0.0030231165585286397,262860,0.003023116580061303
5,134832,0.003001266418800762,134832,0.00300126642319745
6,234704,0.0025722562540677492,234704,0.0025722562426261568
7,136821,0.0024537026502701523,136821,0.00245370261196625
8,68889,0.0024307797059088263,68889,0.0024307796639422606
9,105607,0.0023974275311864344,105607,0.0023974275194969504
10,69358,0.0023640036054299253,69358,0.0023640036072285434
11,67756,0.002300990214093036,67756,0.0023009902154924777
12,225872,0.0022674038352450705,225872,0.0022674038188408106
13,186750,0.0022324315501196855,186750,0.002232431534516621
14,272442,0.0021465381064359177,272442,0.002146538078533297
15,251796,0.0021465381064359117,251796,0.0021465380765649292
16,95163,0.002146538106435909,95163,0.0021465380718331656
17,119479,0.0020362393685043143,119479,0.002036239422354663
18,231363,0.0020076908464420314,231363,0.002007690847643142
19,55788,0.0019570367794952684,55788,0.0019570367869833636
20,167295,0.0019164905917252498,167295,0.0019164905855946974
21,179645,0.0018104316786327717,179645,0.001810431714889748
22,38342,0.0017386608162864013,38342,0.001738660810784806
23,117152,0.0014036072649406485,117152,0.0014036072435323443
24,198090,0.0013503781788197875,198090,0.0013503781744453735
25,60210,0.0013094189404822011,60210,0.0013094189533053395
